Country ID,Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
36,Australia,"4,30,216.38","4,30,612.56","4,30,653.33","4,39,004.90","4,46,681.85","4,58,841.60","4,72,629.67","4,78,199.84","4,89,373.84","4,96,982.31","5,00,807.89","5,02,301.78","5,20,315.18","5,26,206.97","5,30,787.99","5,36,888.60","5,40,669.00","5,44,285.46","5,40,571.41","5,42,511.92","5,44,732.76","5,35,006.81","5,30,411.02","5,38,618.78","5,48,862.55","5,56,612.27"
40,Austria,"75,524.00","75,771.05","76,016.83","79,382.99","82,605.50","82,175.96","81,511.96","79,931.07","80,261.99","84,151.51","85,906.92","91,545.24","91,139.81","92,427.27","90,022.83","87,337.77","86,747.76","80,163.13","84,612.84","82,286.89","79,528.79","79,971.98","76,346.01","78,509.78","79,467.29","82,023.36"
112,Belarus,"1,18,221.92","1,05,280.61","88,379.27","81,851.22","83,443.71","84,415.87","85,898.56","79,655.96","79,588.94","79,623.44","78,345.45","80,496.12","85,276.39","86,694.06","90,609.15","90,175.18","93,988.59","90,091.83","92,278.15","91,896.01","92,826.79","93,891.18","93,037.12","88,445.26","90,043.58","91,112.50"
56,Belgium,"1,48,737.28","1,47,741.14","1,52,361.11","1,54,495.96","1,58,184.69","1,49,720.79","1,54,897.83","1,48,647.76","1,49,704.63","1,48,114.45","1,48,157.11","1,48,419.33","1,49,273.60","1,46,251.99","1,43,391.88","1,39,789.97","1,39,699.33","1,27,051.68","1,34,315.86","1,23,782.51","1,20,922.50","1,20,949.31","1,15,215.77","1,19,418.39","1,18,172.44","1,18,005.10"
100,Bulgaria,"77,727.07","76,742.25","73,107.41","74,614.54","74,782.90","71,967.78","67,955.96","60,709.30","59,580.03","62,640.66","59,963.84","64,510.04","63,592.41","64,117.73","64,678.35","68,555.80","67,142.57","58,154.08","60,726.73","65,995.81","60,940.95","55,666.99","58,679.25","61,920.68","59,345.03","61,682.76"
124,Canada,"6,12,470.51","6,15,048.51","6,36,374.33","6,53,057.98","6,74,575.22","6,86,114.63","6,93,059.08","7,07,363.77","7,30,681.59","7,19,697.17","7,23,948.36","7,40,245.80","7,41,584.48","7,29,747.17","7,20,516.11","7,42,313.66","7,22,567.97","6,80,493.57","6,90,530.62","7,02,412.98","7,10,108.30","7,20,877.45","7,21,353.74","7,20,380.18","7,06,196.41","7,13,838.21"
191,Croatia,"23,037.60","23,009.78","22,116.19","22,739.43","23,288.23","24,534.40","24,923.52","26,053.24","25,708.82","26,894.15","28,007.78","29,468.13","29,465.49","29,920.38","30,299.87","31,726.83","30,822.85","28,468.42","28,033.73","27,707.92","25,887.46","24,463.77","23,697.28","24,125.31","24,275.34","25,032.08"
196,Cyprus,"6,662.69","6,944.99","7,204.88","7,143.86","7,490.33","7,581.99","7,909.48","8,187.10","8,457.56","8,401.04","8,634.01","9,023.85","9,235.40","9,390.60","9,600.37","9,943.99","10,094.96","9,849.21","9,518.12","9,167.14","8,631.48","7,915.92","8,291.26","8,345.50","8,794.10","8,974.40"
203,Czechia,"1,72,533.93","1,64,898.96","1,57,406.67","1,56,526.03","1,59,559.05","1,54,994.17","1,48,844.49","1,39,281.76","1,49,457.61","1,49,497.29","1,45,776.80","1,48,967.36","1,50,048.22","1,47,905.91","1,49,080.89","1,50,918.18","1,46,084.37","1,37,219.22","1,39,900.21","1,38,359.07","1,34,202.23","1,28,984.26","1,26,856.68","1,28,303.74","1,30,134.22","1,29,059.00"
208,Denmark,"75,643.54","77,804.11","81,684.72","78,731.96","91,922.97","82,464.94","78,486.88","76,046.63","71,773.41","73,508.24","72,974.28","78,060.17","71,947.75","67,541.34","75,268.34","70,696.82","67,108.81","64,354.79","64,654.77","59,421.50","54,837.72","56,561.60","52,361.36","49,742.09","51,798.27","49,678.02"
233,Estonia,"27,157.90","21,206.14","21,900.77","20,109.10","20,797.26","20,423.99","18,916.39","17,585.33","17,246.55","17,619.03","17,067.92","18,971.86","19,305.70","19,012.24","18,295.81","22,023.10","19,872.67","16,519.60","21,019.06","21,058.29","19,966.95","21,848.04","21,056.79","18,109.74","19,640.42","20,923.49"
246,Finland,"67,416.61","69,684.06","75,215.37","71,656.56","77,633.33","76,321.12","72,626.36","72,016.77","70,145.35","75,475.58","77,909.24","85,532.07","81,839.01","69,837.08","81,207.90","79,544.79","71,452.38","67,834.70","75,649.74","67,899.41","62,419.24","62,856.36","58,700.07","55,086.25","58,039.64","55,336.72"
250,France,"5,66,925.42","5,44,411.47","5,38,971.27","5,46,666.86","5,64,234.85","5,57,026.92","5,70,706.96","5,62,824.23","5,56,689.81","5,61,632.97","5,55,016.01","5,59,892.55","5,58,006.76","5,59,561.38","5,47,350.92","5,36,920.91","5,29,131.49","5,10,222.31","5,16,993.59","4,88,626.08","4,89,044.21","4,90,340.67","4,60,180.56","4,64,049.06","4,65,667.52","4,70,593.20"
276,Germany,"11,52,233.12","11,43,321.08","11,24,269.24","11,21,370.24","11,39,309.80","11,04,200.14","10,78,910.26","10,45,140.62","10,43,426.39","10,58,627.88","10,37,293.21","10,34,945.73","10,18,676.23","9,93,198.75","10,00,519.90","9,73,838.74","9,76,672.15","9,09,260.14","9,42,338.00","9,19,434.65","9,24,147.41","9,41,570.26","9,02,388.74","9,06,320.05","9,09,052.47","8,94,296.28"
300,Greece,"1,04,609.04","1,04,210.52","1,06,996.16","1,09,332.94","1,12,478.84","1,17,379.08","1,22,976.55","1,23,133.87","1,26,492.93","1,27,546.73","1,27,561.99","1,31,300.83","1,31,982.90","1,36,446.50","1,32,540.10","1,35,170.74","1,31,846.08","1,24,640.14","1,18,522.25","1,15,593.36","1,12,326.85","1,02,705.10","99,276.89","95,482.14","91,839.59","95,585.97"
348,Hungary,"77,236.19","78,119.02","76,973.33","75,352.36","77,569.03","76,028.72","75,560.09","76,110.41","73,234.56","75,218.53","73,535.06","76,488.13","75,630.98","75,386.68","74,139.16","72,456.79","70,519.93","64,481.60","64,856.75","63,239.46","59,569.73","56,763.15","57,391.17","60,797.34","61,257.34","63,781.35"
352,Iceland,"3,428.21","3,516.12","3,434.54","3,551.04","3,609.56","3,776.82","3,922.02","4,147.96","4,171.05","4,061.52","4,153.12","4,112.70","4,211.34","4,059.46","4,648.29","4,947.06","5,342.91","5,005.60","4,928.92","4,680.96","4,683.54","4,688.54","4,722.10","4,799.81","4,754.60","4,835.51"
372,Ireland,"56,013.36","56,416.31","57,760.82","59,164.25","61,234.15","62,565.16","65,031.48","66,174.54","68,314.28","70,221.21","68,244.22","68,550.02","67,990.21","69,702.11","68,825.59","68,042.03","67,490.64","61,736.43","61,277.54","57,156.86","57,752.70","57,589.73","57,325.32","59,415.93","61,491.44","61,004.88"
380,Italy,"5,16,117.31","5,09,104.90","5,03,368.55","5,29,435.48","5,23,538.23","5,31,260.38","5,43,481.19","5,48,740.28","5,52,474.43","5,54,029.53","5,60,213.53","5,79,418.02","5,85,375.66","5,86,529.47","5,76,602.67","5,69,689.77","5,57,101.80","5,02,603.75","5,13,756.38","5,01,288.05","4,82,361.63","4,47,072.72","4,26,491.71","4,39,431.75","4,36,088.45","4,31,324.46"
392,Japan,"12,96,664.52","12,89,105.60","13,53,440.83","13,74,505.10","13,86,969.52","13,79,301.65","13,30,779.96","13,54,370.00","13,74,774.03","13,49,333.28","13,73,167.46","13,79,116.92","13,71,688.86","13,78,770.81","13,57,162.21","13,93,190.47","13,21,204.29","12,48,422.29","13,02,549.97","13,53,603.93","13,96,323.77","14,07,809.07","13,58,344.55","13,19,800.19","13,02,842.08","12,89,239.53"
398,Kazakhstan,"3,60,142.31","3,22,478.57","2,74,206.46","2,55,808.65","2,37,527.36","2,30,633.86","2,28,926.65","2,03,735.18","2,38,979.34","1,98,340.60","2,16,042.50","2,37,980.28","2,48,963.98","2,62,116.25","2,84,307.53","2,92,204.62","2,95,595.60","2,89,196.42","3,20,259.32","3,11,437.82","3,17,589.18","3,26,985.99","3,51,113.73","3,59,580.68","3,60,520.71","3,81,931.52"
428,Latvia,"19,652.62","16,239.32","14,312.39","12,954.57","13,004.99","12,454.06","11,956.98","11,177.51","10,561.51","11,142.87","11,118.97","11,308.07","11,276.28","11,451.43","11,932.70","12,380.71","11,906.52","11,221.35","12,309.64","11,519.61","11,336.64","11,264.06","11,166.00","11,214.00","11,203.13","11,248.15"
438,Liechtenstein,236.09,243.22,229.68,233.53,235.9,248.47,259.49,256.5,247.12,246.7,253.01,263.28,263.96,264.51,267.84,238.55,258.55,243.91,229.02,215.97,225.2,231.77,199.73,197.79,187.99,194
440,Lithuania,"30,804.47","24,733.05","23,313.27","22,332.61","23,384.19","22,935.81","23,918.89","21,059.86","19,523.18","20,317.59","20,680.25","20,844.98","21,702.41","22,801.83","23,095.70","25,282.97","24,376.27","20,068.47","20,887.59","21,462.69","21,396.48","20,167.64","20,110.69","20,400.43","20,420.35","20,617.61"
442,Luxembourg,"13,146.80","13,293.45","12,468.53","10,091.81","10,155.26","9,503.14","8,622.18","9,087.98","9,669.11","10,158.18","10,934.88","11,376.30","12,766.97","13,009.12","12,838.07","12,253.93","12,135.10","11,587.58","12,169.06","12,046.25","11,773.25","11,234.48","10,776.85","10,290.10","10,050.69","10,235.70"
470,Malta,"2,493.29","3,079.73","2,864.00","2,660.74","2,783.21","2,798.73","2,765.98","2,853.10","2,789.77","2,917.46","2,969.38","3,250.05","3,139.28","2,972.18","3,032.32","3,130.48","3,078.43","2,899.98","2,984.08","2,992.34","3,207.53","2,894.18","2,933.25","2,255.29","1,944.05","2,156.18"
528,Netherlands,"2,29,110.63","2,29,867.60","2,30,750.53","2,30,937.80","2,41,763.55","2,33,603.08","2,34,161.15","2,20,828.43","2,19,239.07","2,19,714.04","2,17,608.55","2,18,291.27","2,19,893.84","2,14,226.59","2,09,176.56","2,07,676.79","2,07,040.28","2,01,382.08","2,13,281.34","1,99,175.46","1,95,272.03","1,94,878.14","1,87,184.61","1,95,422.37","1,94,991.61","1,92,876.47"
554,New Zealand,"65,668.78","65,433.40","66,679.18","67,426.24","69,549.34","72,259.28","70,221.38","72,059.93","74,103.08","77,105.36","77,474.96","79,643.61","79,294.83","81,274.42","81,455.21","79,415.58","79,526.33","76,771.18","77,267.81","76,975.49","79,401.58","78,804.91","79,449.84","79,493.71","77,623.31","79,640.86"
578,Norway,"47,536.73","49,405.88","51,267.85","51,620.17","54,604.38","54,596.46","54,758.82","55,717.70","55,114.75","56,348.39","55,289.87","55,795.67","56,190.76","55,403.47","55,355.14","57,008.70","55,587.36","53,179.20","55,468.97","54,643.09","54,121.12","53,969.36","53,930.25","54,353.97","53,472.21","52,386.53"
616,Poland,"4,50,485.86","4,50,327.26","4,44,648.99","4,46,722.54","4,60,555.49","4,50,448.67","4,20,050.15","4,08,500.81","3,95,949.88","3,94,895.90","3,85,174.51","3,98,551.08","4,04,101.55","4,04,459.53","4,19,741.76","4,19,497.50","4,13,124.39","3,94,084.80","4,12,926.32","4,12,006.11","4,04,526.56","4,01,147.19","3,88,469.51","3,91,674.13","4,00,268.49","4,14,679.37"
620,Portugal,"64,463.09","62,938.84","63,906.04","68,546.69","66,206.27","69,401.65","74,238.09","82,290.12","81,528.17","81,121.33","85,574.06","80,229.86","83,350.56","85,503.56","80,733.33","78,449.13","76,066.24","72,999.62","68,749.86","67,356.05","65,466.54","63,611.12","63,520.26","67,698.41","65,865.83","70,447.04"
642,Romania,"1,91,274.11","1,82,090.01","1,80,133.16","1,87,227.78","1,89,592.38","1,84,139.93","1,66,852.83","1,47,899.99","1,43,154.46","1,46,187.17","1,48,897.93","1,53,779.79","1,52,551.97","1,51,387.14","1,52,110.74","1,54,670.41","1,49,918.10","1,28,031.30","1,24,173.34","1,29,010.35","1,25,638.73","1,16,001.00","1,16,214.83","1,16,418.66","1,14,287.85","1,16,875.47"
643,Russian Federation,"25,37,506.16","23,99,711.49","21,37,226.57","20,84,988.22","20,29,941.37","19,12,753.07","18,79,354.90","19,05,174.11","19,01,067.27","19,42,384.53","19,24,360.11","19,59,432.50","19,74,435.64","19,95,073.02","20,57,942.51","20,59,557.10","20,98,480.69","19,61,217.41","20,57,878.02","21,19,644.44","21,47,996.18","20,92,550.41","20,94,363.54","20,94,011.75","20,98,138.55","21,55,270.61"
703,Slovakia,"58,415.82","55,050.77","52,701.64","53,302.33","53,189.63","53,130.67","52,525.60","51,197.48","49,291.58","51,564.19","50,196.23","50,412.28","51,271.02","51,271.66","51,168.78","49,417.37","49,935.39","45,653.72","46,405.54","45,704.01","43,185.82","42,855.65","40,791.62","41,830.67","42,316.79","43,475.29"
705,Slovenia,"17,371.45","17,555.31","17,944.60","18,634.26","19,281.69","19,647.74","19,411.18","18,788.62","19,037.60","19,952.64","20,121.41","19,844.10","20,156.01","20,456.75","20,625.25","20,789.28","21,514.46","19,530.10","19,555.22","19,565.61","19,004.84","18,307.64","16,575.01","16,750.90","17,607.61","17,366.76"
724,Spain,"3,06,740.10","2,96,219.09","3,12,944.73","3,28,901.25","3,21,217.52","3,35,660.95","3,45,704.24","3,73,171.35","3,88,776.13","3,86,579.77","4,04,906.86","4,12,869.59","4,28,860.79","4,43,439.52","4,36,395.82","4,47,253.68","4,13,027.78","3,73,425.05","3,58,858.91","3,58,230.88","3,50,958.86","3,24,693.22","3,26,815.62","3,38,254.29","3,26,890.38","3,40,298.29"
752,Sweden,"70,970.22","71,276.38","73,788.74","73,120.48","77,087.95","72,084.29","72,549.44","69,454.61","68,114.65","68,934.26","69,642.10","70,017.22","69,455.15","66,624.03","66,247.36","65,129.16","62,753.43","58,496.75","64,467.31","60,131.47","57,294.30","55,607.71","53,846.36","53,739.18","53,285.94","52,715.03"
756,Switzerland,"55,396.14","52,921.29","51,914.23","52,829.75","53,432.35","52,303.07","53,869.04","53,658.46","53,080.70","54,601.12","53,068.38","54,095.78","54,698.08","55,414.41","55,022.40","53,159.34","54,524.83","53,082.11","54,726.72","50,615.83","52,037.42","52,816.49","48,877.39","48,412.50","48,725.31","47,873.18"
792,Turkey,"2,32,975.38","2,40,316.70","2,34,287.67","2,47,761.96","2,67,396.69","2,78,626.96","2,80,231.00","2,77,650.22","2,98,759.82","2,80,301.38","2,86,003.42","3,05,260.93","3,14,668.94","3,37,139.73","3,58,291.53","3,91,422.39","3,87,590.13","3,95,596.00","3,98,882.58","4,27,830.53","4,47,254.81","4,39,325.69","4,58,368.97","4,72,595.01","4,97,741.90","5,23,752.84"
804,Ukraine,"8,00,682.92","7,10,580.89","6,04,307.69","5,61,511.11","5,14,681.25","4,98,995.26","4,80,322.33","4,49,025.44","4,27,203.05","4,45,295.32","4,30,433.29","4,39,724.29","4,42,498.57","4,41,635.07","4,59,266.97","4,62,601.91","4,50,384.56","3,89,970.18","4,06,799.09","4,28,125.58","4,17,169.51","4,08,768.45","3,62,502.50","3,18,938.91","3,37,397.31","3,22,778.65"
826,United Kingdom,"7,86,435.91","7,67,022.50","7,58,171.05","7,51,691.00","7,73,629.78","7,48,416.32","7,47,129.66","7,16,725.96","7,16,279.71","7,19,097.19","6,99,596.36","7,06,682.23","7,03,280.27","6,95,430.66","6,88,259.17","6,76,546.33","6,56,112.47","6,00,031.69","6,14,493.22","5,67,259.49","5,83,865.70","5,70,218.68","5,29,981.28","5,12,121.42","4,86,371.70","4,75,259.76"
840,United States,"64,80,086.59","65,96,774.55","66,85,730.47","67,71,015.64","69,74,407.04","70,28,804.64","70,77,750.26","71,25,608.98","72,75,396.97","71,72,475.08","72,14,460.60","72,55,112.41","73,81,668.68","73,91,771.13","73,14,388.89","74,16,454.47","72,10,129.30","67,53,906.09","69,81,613.04","68,20,533.47","65,80,674.82","67,69,551.03","68,29,016.66","66,76,371.43","65,24,080.44","64,88,234.64"
